month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
1,1,0,4.75,3.0,0,1,286000.0,280000.0,False,True,False,230000
11,4,3,4.0,2.9,0,0,258000.0,257750.0,True,False,False,345000
10,4,3,4.0,3.0,0,1,340000.0,441750.0,False,False,False,1800000
6,2,2,4.25,3.3,0,1,177250.0,177500.0,False,False,True,132000
1,1,0,4.75,3.0,0,1,200000.0,280000.0,False,False,False,458000
9,3,3,4.0,3.0,0,1,237500.0,245000.0,False,False,False,285000
10,4,3,4.0,3.0,0,1,355000.0,305000.0,False,False,False,785000
5,2,1,4.25,3.4,1,1,310000.0,300000.0,False,True,False,245750
10,4,3,4.0,3.0,0,1,250000.0,230000.0,False,True,False,265000
8,3,2,4.25,3.1,0,1,527500.0,480000.0,False,True,False,569000
1,1,0,4.75,3.0,0,1,375000.0,337000.0,False,False,False,433880
4,2,1,4.25,3.5,1,1,240000.0,240000.0,False,False,False,458995
8,3,2,4.25,3.1,0,0,237500.0,233500.0,True,False,False,197000
8,3,2,4.25,3.1,0,1,407500.0,540000.0,False,False,True,387500
5,2,1,4.25,3.4,0,1,355000.0,275000.0,False,True,False,315000
9,3,3,4.0,3.0,0,1,215000.0,210000.0,False,False,True,191000
6,2,2,4.25,3.3,0,1,208000.0,205000.0,False,True,False,225000
4,2,1,4.25,3.5,0,1,195000.0,185000.0,False,True,False,242500
2,1,0,4.5,2.8,0,0,240500.0,366057.0,False,True,False,310000
8,3,2,4.25,3.1,0,1,375000.0,330000.0,False,False,True,330000
2,1,0,4.5,2.8,0,1,215000.0,218375.0,False,False,True,222000
2,1,0,4.5,2.8,0,1,299999.5,228000.0,False,False,False,323500
4,2,1,4.25,3.5,0,1,235000.0,230000.0,False,True,False,113000
11,4,3,4.0,2.9,0,1,180000.0,160000.0,False,False,True,110000
3,1,1,4.5,2.6,0,0,345000.0,348000.0,True,False,False,175000
4,2,1,4.25,3.5,0,1,340000.0,386500.0,False,False,False,552500
12,4,0,4.0,2.8,0,1,195000.0,185000.0,False,True,False,240000
5,2,1,4.25,3.4,0,1,250000.0,200000.0,False,False,False,370000
1,1,0,4.75,3.0,0,1,299500.0,285000.0,False,False,False,252000
12,4,0,4.0,2.8,0,1,240000.0,240000.0,False,False,False,237500
10,4,3,4.0,3.0,0,1,545000.0,522500.0,False,True,False,754000
3,1,1,4.5,2.6,0,1,286000.0,220000.0,False,True,False,262500
11,4,3,4.0,2.9,0,1,237500.0,237000.0,False,False,False,435000
12,4,0,4.0,2.8,0,0,290000.0,330000.0,True,False,False,130500
7,3,2,4.25,3.2,1,1,235000.0,230000.0,False,False,False,246002
6,2,2,4.25,3.3,0,1,250000.0,182000.0,False,True,False,490000
10,4,3,4.0,3.0,0,1,280000.0,271250.0,False,False,False,347500
6,2,2,4.25,3.3,0,1,160000.0,182000.0,False,False,True,100000
11,4,3,4.0,2.9,0,1,407500.0,459375.0,False,True,False,780000
3,1,1,4.5,2.6,0,1,195000.0,185000.0,False,False,False,320000
2,1,0,4.5,2.8,0,1,315000.0,357250.0,False,False,False,675000
8,3,2,4.25,3.1,0,1,345000.0,330000.0,False,False,False,710000
5,2,1,4.25,3.4,0,0,235000.0,193750.0,False,False,True,115000
9,3,3,4.0,3.0,0,0,370000.0,482000.0,False,False,True,475000
6,2,2,4.25,3.3,0,1,195500.0,182000.0,False,False,True,130000
12,4,0,4.0,2.8,0,1,355000.0,267500.0,False,True,False,450000
5,2,1,4.25,3.4,0,1,175000.0,160274.0,False,False,False,300000
10,4,3,4.0,3.0,0,1,240500.0,301000.0,False,True,False,270000
5,2,1,4.25,3.4,0,0,340000.0,310000.0,True,False,False,217500
7,3,2,4.25,3.2,0,1,175000.0,175000.0,False,False,False,369950
3,1,1,4.5,2.6,0,0,527500.0,574000.0,True,False,False,422500
5,2,1,4.25,3.4,0,1,240500.0,301000.0,False,True,False,448500
7,3,2,4.25,3.2,0,1,527500.0,480000.0,False,False,True,290000
10,4,3,4.0,3.0,0,0,240500.0,195000.0,False,True,False,200000
